       Step     Time          Energy         fmax
MDMin:    0 11:10:20        6.742651       16.7579
MDMin:    1 11:10:20        4.032579        4.3803
MDMin:    2 11:10:20        2.659350        2.6335
MDMin:    3 11:10:20        1.671278        1.4148
MDMin:    4 11:10:20        1.106098        0.7724
MDMin:    5 11:10:20        0.777027        0.4328
MDMin:    6 11:10:20        0.577560        0.2740
MDMin:    7 11:10:20        0.470718        0.1912
MDMin:    8 11:10:20        0.429096        0.1378
MDMin:    9 11:10:20        0.431124        0.1181
MDMin:   10 11:10:20        0.449818        0.1362
MDMin:   11 11:10:20        0.474750        0.1209
MDMin:   12 11:10:20        0.489647        0.1513
MDMin:   13 11:10:20        0.503504        0.1252
MDMin:   14 11:10:20        0.520146        0.1396
MDMin:   15 11:10:20        0.537544        0.1256
MDMin:   16 11:10:20        0.557377        0.1372
MDMin:   17 11:10:20        0.578039        0.1218
MDMin:   18 11:10:20        0.600929        0.1396
MDMin:   19 11:10:20        0.623770        0.1165
MDMin:   20 11:10:20        0.647993        0.1511
MDMin:   21 11:10:20        0.669165        0.1160
MDMin:   22 11:10:20        0.689157        0.1453
MDMin:   23 11:10:20        0.705921        0.1117
MDMin:   24 11:10:20        0.723901        0.1211
MDMin:   25 11:10:20        0.742415        0.1086
MDMin:   26 11:10:20        0.762863        0.1099
MDMin:   27 11:10:20        0.784776        0.1018
MDMin:   28 11:10:20        0.808697        0.1000
MDMin:   29 11:10:20        0.834301        0.0978
